,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,cf
6917,20141016:0500,0.0,0.0,0.0,0.0,0.0,13.09,2.28,0.0,0.0
6918,20141016:0600,0.0,0.0,0.0,0.0,0.0,13.04,2.07,0.0,0.0
6919,20141016:0700,0.0,0.0,0.0,0.0,0.0,12.88,2.41,0.0,0.0
6920,20141016:0800,0.0,0.0,0.0,0.0,0.0,12.57,2.21,0.0,0.0
6921,20141016:0900,0.0,0.0,0.0,0.0,0.0,12.45,2.34,0.0,0.0
6922,20141016:1000,0.0,0.0,0.0,0.0,0.0,12.43,2.28,0.0,0.0
6923,20141016:1100,0.0,0.0,0.0,0.0,0.0,12.54,2.28,0.0,0.0
6924,20141016:1200,41.82,43.28,22.79,0.64,4.15,12.41,2.83,0.0,0.04182
6925,20141016:1300,0.0,0.0,5.47,0.11,14.2,12.56,3.59,0.0,0.0
6926,20141016:1400,2.84,0.0,10.93,0.21,23.23,13.61,3.24,0.0,0.0028399999999999996
6927,20141016:1500,5.2,0.0,14.58,0.28,30.62,14.63,2.76,0.0,0.0052
6928,20141016:1600,75.05,0.0,92.03,1.78,35.61,15.57,2.28,0.0,0.07504999999999999
6929,20141016:1700,80.06,0.0,97.5,1.89,37.48,16.43,1.93,0.0,0.08006
6930,20141016:1800,816.2,740.49,139.26,10.15,35.86,17.01,2.14,0.0,0.8162
6931,20141016:1900,727.45,634.38,132.25,8.75,31.07,17.69,3.31,0.0,0.72745
6932,20141016:2000,560.55,468.26,115.61,6.51,23.83,17.46,3.52,0.0,0.56055
6933,20141016:2100,328.54,263.38,87.88,3.72,14.9,16.79,3.45,0.0,0.32854
6934,20141016:2200,39.06,0.0,54.67,1.06,4.91,15.93,2.9,0.0,0.039060000000000004
6935,20141016:2300,0.0,0.0,0.0,0.0,0.0,14.87,2.97,0.0,0.0
6936,20141017:0000,0.0,0.0,0.0,0.0,0.0,14.21,3.38,0.0,0.0
6937,20141017:0100,0.0,0.0,0.0,0.0,0.0,13.57,3.38,0.0,0.0
6938,20141017:0200,0.0,0.0,0.0,0.0,0.0,13.17,3.17,0.0,0.0
6939,20141017:0300,0.0,0.0,0.0,0.0,0.0,12.62,3.52,0.0,0.0
6940,20141017:0400,0.0,0.0,0.0,0.0,0.0,11.9,3.79,0.0,0.0
6941,20141017:0500,0.0,0.0,0.0,0.0,0.0,11.45,3.79,0.0,0.0
6942,20141017:0600,0.0,0.0,0.0,0.0,0.0,11.04,3.66,0.0,0.0
6943,20141017:0700,0.0,0.0,0.0,0.0,0.0,11.13,3.03,0.0,0.0
6944,20141017:0800,0.0,0.0,0.0,0.0,0.0,11.21,3.1,0.0,0.0
6945,20141017:0900,0.0,0.0,0.0,0.0,0.0,11.42,3.24,0.0,0.0
6946,20141017:1000,0.0,0.0,0.0,0.0,0.0,11.68,3.59,0.0,0.0
6947,20141017:1100,0.0,0.0,0.0,0.0,0.0,11.92,3.66,0.0,0.0
6948,20141017:1200,4.66,0.0,13.67,0.26,3.92,11.94,3.86,0.0,0.00466
6949,20141017:1300,66.76,7.61,74.92,1.5,13.95,12.37,4.21,0.0,0.06676
6950,20141017:1400,60.92,0.0,76.54,1.48,22.95,12.71,4.62,0.0,0.06092
6951,20141017:1500,89.92,0.0,105.7,2.05,30.31,13.41,6.34,0.0,0.08992
6952,20141017:1600,512.93,247.24,270.96,7.22,35.27,14.01,6.0,0.0,0.51293
6953,20141017:1700,168.22,6.29,176.62,3.48,37.11,14.73,6.21,0.0,0.16822
6954,20141017:1800,118.38,0.0,134.86,2.61,35.49,15.55,6.28,0.0,0.11838
6955,20141017:1900,63.71,0.0,80.19,1.55,30.72,15.48,6.14,0.0,0.06371
6956,20141017:2000,43.66,0.0,59.23,1.15,23.5,14.87,7.03,0.0,0.04366
6957,20141017:2100,85.01,12.92,88.64,1.8,14.59,14.55,6.83,0.0,0.08501
6958,20141017:2200,14.24,0.0,26.43,0.51,4.62,14.58,6.55,0.0,0.014240000000000001
