,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,cf
0,20140101:0000,0.0,0.0,0.0,0.0,0.0,-9.6,7.52,0.0,0.0
1,20140101:0100,0.0,0.0,0.0,0.0,0.0,-9.73,6.9,0.0,0.0
2,20140101:0200,0.0,0.0,0.0,0.0,0.0,-9.7,6.41,0.0,0.0
3,20140101:0300,0.0,0.0,0.0,0.0,0.0,-9.61,6.62,0.0,0.0
4,20140101:0400,0.0,0.0,0.0,0.0,0.0,-9.53,6.62,0.0,0.0
5,20140101:0500,0.0,0.0,0.0,0.0,0.0,-9.51,6.62,0.0,0.0
6,20140101:0600,0.0,0.0,0.0,0.0,0.0,-9.79,6.55,0.0,0.0
7,20140101:0700,0.0,0.0,0.0,0.0,0.0,-9.84,6.14,0.0,0.0
8,20140101:0800,0.0,0.0,0.0,0.0,0.0,-10.1,5.86,0.0,0.0
9,20140101:0900,0.0,0.0,0.0,0.0,0.0,-10.36,5.45,0.0,0.0
10,20140101:1000,0.0,0.0,0.0,0.0,0.0,-10.8,5.03,0.0,0.0
11,20140101:1100,0.0,0.0,0.0,0.0,0.0,-11.14,4.83,0.0,0.0
12,20140101:1200,0.0,0.0,0.0,0.0,0.0,-11.39,4.69,0.0,0.0
13,20140101:1300,0.0,0.0,0.0,0.0,0.0,-11.44,4.41,0.0,0.0
14,20140101:1400,35.21,0.0,45.56,0.88,8.98,-11.2,3.93,0.0,0.03521
15,20140101:1500,408.37,249.57,124.76,3.39,15.89,-10.7,3.31,0.0,0.40837
16,20140101:1600,188.38,42.48,140.22,2.89,20.76,-10.1,2.83,0.0,0.18838
17,20140101:1700,88.66,0.0,95.68,1.85,23.11,-9.49,2.0,0.0,0.08866
18,20140101:1800,247.71,73.43,162.73,3.48,22.67,-8.96,1.72,0.0,0.24771
19,20140101:1900,430.75,239.33,155.87,4.06,19.49,-9.76,3.31,0.0,0.43075
20,20140101:2000,228.57,110.36,107.26,2.4,13.93,-10.07,3.52,0.0,0.22857
21,20140101:2100,68.73,28.33,49.59,0.95,6.49,-10.59,3.86,0.0,0.06873
22,20140101:2200,0.0,0.0,0.0,0.0,0.0,-11.31,4.21,0.0,0.0
23,20140101:2300,0.0,0.0,0.0,0.0,0.0,-12.22,4.76,0.0,0.0
24,20140102:0000,0.0,0.0,0.0,0.0,0.0,-13.06,5.17,0.0,0.0
25,20140102:0100,0.0,0.0,0.0,0.0,0.0,-13.82,5.45,0.0,0.0
26,20140102:0200,0.0,0.0,0.0,0.0,0.0,-14.4,5.59,0.0,0.0
27,20140102:0300,0.0,0.0,0.0,0.0,0.0,-14.73,5.72,0.0,0.0
28,20140102:0400,0.0,0.0,0.0,0.0,0.0,-14.94,5.86,0.0,0.0
29,20140102:0500,0.0,0.0,0.0,0.0,0.0,-15.08,5.86,0.0,0.0
30,20140102:0600,0.0,0.0,0.0,0.0,0.0,-15.36,6.14,0.0,0.0
31,20140102:0700,0.0,0.0,0.0,0.0,0.0,-15.91,6.21,0.0,0.0
32,20140102:0800,0.0,0.0,0.0,0.0,0.0,-16.36,6.21,0.0,0.0
33,20140102:0900,0.0,0.0,0.0,0.0,0.0,-16.75,6.34,0.0,0.0
34,20140102:1000,0.0,0.0,0.0,0.0,0.0,-17.14,6.48,0.0,0.0
35,20140102:1100,0.0,0.0,0.0,0.0,0.0,-17.48,6.83,0.0,0.0
36,20140102:1200,0.0,0.0,0.0,0.0,0.0,-17.85,7.03,0.0,0.0
37,20140102:1300,0.0,0.0,0.0,0.0,0.0,-18.31,7.03,0.0,0.0
38,20140102:1400,7.14,0.0,15.49,0.3,9.0,-18.5,7.17,0.0,0.00714
39,20140102:1500,67.66,0.0,73.81,1.43,15.93,-18.3,7.1,0.0,0.06766
40,20140102:1600,67.55,0.0,73.81,1.43,20.82,-17.98,6.83,0.0,0.06755
41,20140102:1700,106.27,0.0,107.53,2.08,23.19,-17.74,6.9,0.0,0.10626999999999999
42,20140102:1800,133.49,4.31,126.45,2.47,22.77,-17.46,7.1,0.0,0.13349
43,20140102:1900,115.3,4.54,111.03,2.17,19.6,-16.79,7.17,0.0,0.1153
44,20140102:2000,51.97,0.0,60.14,1.16,14.05,-16.76,7.31,0.0,0.05197
45,20140102:2100,21.28,0.0,30.98,0.6,6.62,-16.86,7.24,0.0,0.02128
46,20140102:2200,0.0,0.0,0.0,0.0,0.0,-17.09,7.17,0.0,0.0
47,20140102:2300,0.0,0.0,0.0,0.0,0.0,-17.43,7.52,0.0,0.0
48,20140103:0000,0.0,0.0,0.0,0.0,0.0,-17.8,7.59,0.0,0.0
49,20140103:0100,0.0,0.0,0.0,0.0,0.0,-18.16,7.31,0.0,0.0
50,20140103:0200,0.0,0.0,0.0,0.0,0.0,-18.51,7.1,0.0,0.0
51,20140103:0300,0.0,0.0,0.0,0.0,0.0,-18.93,6.9,0.0,0.0
52,20140103:0400,0.0,0.0,0.0,0.0,0.0,-19.43,6.83,0.0,0.0
53,20140103:0500,0.0,0.0,0.0,0.0,0.0,-20.01,6.69,0.0,0.0
54,20140103:0600,0.0,0.0,0.0,0.0,0.0,-20.63,6.41,0.0,0.0
55,20140103:0700,0.0,0.0,0.0,0.0,0.0,-20.83,6.28,0.0,0.0
56,20140103:0800,0.0,0.0,0.0,0.0,0.0,-21.36,6.21,0.0,0.0
57,20140103:0900,0.0,0.0,0.0,0.0,0.0,-21.82,6.0,0.0,0.0
58,20140103:1000,0.0,0.0,0.0,0.0,0.0,-22.17,5.93,0.0,0.0
59,20140103:1100,0.0,0.0,0.0,0.0,0.0,-22.49,5.86,0.0,0.0
60,20140103:1200,0.0,0.0,0.0,0.0,0.0,-22.67,5.59,0.0,0.0
61,20140103:1300,0.0,0.0,0.0,0.0,0.0,-22.86,5.31,0.0,0.0
62,20140103:1400,233.42,139.92,72.65,1.66,9.02,-22.51,5.31,0.0,0.23342
63,20140103:1500,303.43,143.99,124.89,2.91,15.97,-21.15,4.9,0.0,0.30343000000000003
64,20140103:1600,353.22,149.05,163.57,3.79,20.88,-19.23,4.28,0.0,0.35322000000000003
65,20140103:1700,392.68,164.58,184.83,4.32,23.27,-17.38,3.52,0.0,0.39268000000000003
66,20140103:1800,425.92,197.53,183.88,4.46,22.87,-15.81,2.9,0.0,0.42592
67,20140103:1900,822.6,624.36,134.69,6.23,19.73,-15.2,1.72,0.0,0.8226
68,20140103:2000,626.3,459.54,115.15,4.23,14.18,-14.45,1.52,0.0,0.6263
69,20140103:2100,65.4,23.54,50.24,0.97,6.75,-14.31,1.79,0.0,0.0654
70,20140103:2200,0.0,0.0,0.0,0.0,0.0,-15.31,2.21,0.0,0.0
71,20140103:2300,0.0,0.0,0.0,0.0,0.0,-15.73,3.24,0.0,0.0
72,20140104:0000,0.0,0.0,0.0,0.0,0.0,-15.01,3.86,0.0,0.0
73,20140104:0100,0.0,0.0,0.0,0.0,0.0,-14.12,4.07,0.0,0.0
74,20140104:0200,0.0,0.0,0.0,0.0,0.0,-13.22,4.0,0.0,0.0
75,20140104:0300,0.0,0.0,0.0,0.0,0.0,-12.07,4.48,0.0,0.0
76,20140104:0400,0.0,0.0,0.0,0.0,0.0,-11.05,5.24,0.0,0.0
77,20140104:0500,0.0,0.0,0.0,0.0,0.0,-9.98,6.14,0.0,0.0
78,20140104:0600,0.0,0.0,0.0,0.0,0.0,-9.03,7.31,0.0,0.0
79,20140104:0700,0.0,0.0,0.0,0.0,0.0,-8.13,8.07,0.0,0.0
80,20140104:0800,0.0,0.0,0.0,0.0,0.0,-7.88,7.93,0.0,0.0
81,20140104:0900,0.0,0.0,0.0,0.0,0.0,-7.58,7.79,0.0,0.0
82,20140104:1000,0.0,0.0,0.0,0.0,0.0,-7.52,7.45,0.0,0.0
83,20140104:1100,0.0,0.0,0.0,0.0,0.0,-7.56,7.38,0.0,0.0
84,20140104:1200,0.0,0.0,0.0,0.0,0.0,-7.66,7.17,0.0,0.0
85,20140104:1300,0.0,0.0,0.0,0.0,0.0,-7.61,7.1,0.0,0.0
86,20140104:1400,360.7,252.14,87.17,2.21,9.04,-7.0,7.59,0.0,0.36069999999999997
87,20140104:1500,635.94,467.72,117.2,4.53,16.01,-5.84,7.31,0.0,0.6359400000000001
88,20140104:1600,346.42,157.51,166.16,3.88,20.95,-4.79,8.0,0.0,0.34642
89,20140104:1700,367.09,157.72,185.54,4.31,23.37,-3.88,8.07,0.0,0.36708999999999997
90,20140104:1800,336.06,136.97,179.86,4.09,22.99,-3.08,8.21,0.0,0.33606
91,20140104:1900,245.52,90.12,148.04,3.23,19.85,-1.73,8.55,0.0,0.24552000000000002
92,20140104:2000,91.71,12.9,88.1,1.75,14.32,-1.47,8.0,0.0,0.09171
93,20140104:2100,85.93,42.46,54.49,1.06,6.89,-1.42,7.93,0.0,0.08593
94,20140104:2200,0.0,0.0,0.0,0.0,0.0,-1.67,7.52,0.0,0.0
95,20140104:2300,0.0,0.0,0.0,0.0,0.0,-1.73,7.24,0.0,0.0
96,20140105:0000,0.0,0.0,0.0,0.0,0.0,-1.71,6.97,0.0,0.0
97,20140105:0100,0.0,0.0,0.0,0.0,0.0,-1.66,6.48,0.0,0.0
98,20140105:0200,0.0,0.0,0.0,0.0,0.0,-1.68,6.0,0.0,0.0
99,20140105:0300,0.0,0.0,0.0,0.0,0.0,-1.71,5.66,0.0,0.0
100,20140105:0400,0.0,0.0,0.0,0.0,0.0,-1.73,5.24,0.0,0.0
101,20140105:0500,0.0,0.0,0.0,0.0,0.0,-1.75,4.83,0.0,0.0
102,20140105:0600,0.0,0.0,0.0,0.0,0.0,-1.84,4.34,0.0,0.0
103,20140105:0700,0.0,0.0,0.0,0.0,0.0,-1.84,3.86,0.0,0.0
104,20140105:0800,0.0,0.0,0.0,0.0,0.0,-1.83,3.79,0.0,0.0
105,20140105:0900,0.0,0.0,0.0,0.0,0.0,-1.84,3.38,0.0,0.0
106,20140105:1000,0.0,0.0,0.0,0.0,0.0,-1.9,3.03,0.0,0.0
107,20140105:1100,0.0,0.0,0.0,0.0,0.0,-1.94,2.69,0.0,0.0
108,20140105:1200,0.0,0.0,0.0,0.0,0.0,-1.95,2.55,0.0,0.0
109,20140105:1300,0.0,0.0,0.0,0.0,0.0,-1.93,2.83,0.0,0.0
110,20140105:1400,11.6,0.0,21.87,0.42,9.08,-1.69,3.17,0.0,0.0116
111,20140105:1500,47.23,0.0,59.23,1.15,16.07,-1.32,3.17,0.0,0.047229999999999994
112,20140105:1600,76.53,0.0,87.48,1.69,21.03,-0.84,3.1,0.0,0.07653
113,20140105:1700,59.13,0.0,71.08,1.38,23.47,-0.49,1.86,0.0,0.05913
114,20140105:1800,60.87,0.0,72.9,1.41,23.11,-0.23,1.03,0.0,0.06087
115,20140105:1900,74.18,0.0,85.66,1.66,19.99,0.2,2.55,0.0,0.07418000000000001
116,20140105:2000,46.93,0.0,59.23,1.15,14.46,0.11,4.07,0.0,0.04693
117,20140105:2100,15.42,0.0,26.43,0.51,7.04,-0.1,4.55,0.0,0.01542
118,20140105:2200,0.0,0.0,0.0,0.0,0.0,-0.17,5.24,0.0,0.0
119,20140105:2300,0.0,0.0,0.0,0.0,0.0,-0.15,6.07,0.0,0.0
120,20140106:0000,0.0,0.0,0.0,0.0,0.0,-0.15,6.55,0.0,0.0
121,20140106:0100,0.0,0.0,0.0,0.0,0.0,-0.14,6.76,0.0,0.0
122,20140106:0200,0.0,0.0,0.0,0.0,0.0,0.1,6.55,0.0,0.0
123,20140106:0300,0.0,0.0,0.0,0.0,0.0,0.97,6.0,0.0,0.0
124,20140106:0400,0.0,0.0,0.0,0.0,0.0,1.8,5.38,0.0,0.0
125,20140106:0500,0.0,0.0,0.0,0.0,0.0,2.62,4.55,0.0,0.0
126,20140106:0600,0.0,0.0,0.0,0.0,0.0,3.61,4.97,0.0,0.0
127,20140106:0700,0.0,0.0,0.0,0.0,0.0,2.23,0.07,0.0,0.0
128,20140106:0800,0.0,0.0,0.0,0.0,0.0,1.28,3.45,0.0,0.0
129,20140106:0900,0.0,0.0,0.0,0.0,0.0,-0.22,4.9,0.0,0.0
130,20140106:1000,0.0,0.0,0.0,0.0,0.0,-1.21,7.52,0.0,0.0
131,20140106:1100,0.0,0.0,0.0,0.0,0.0,-2.11,8.28,0.0,0.0
132,20140106:1200,0.0,0.0,0.0,0.0,0.0,-3.53,8.69,0.0,0.0
133,20140106:1300,0.0,0.0,0.0,0.0,0.0,-4.93,8.55,0.0,0.0
134,20140106:1400,380.31,269.31,89.52,2.31,9.12,-5.68,7.93,0.0,0.38031
135,20140106:1500,662.3,491.37,117.51,4.71,16.13,-5.69,7.86,0.0,0.6623
136,20140106:1600,142.09,17.63,127.01,2.54,21.11,-5.15,7.38,0.0,0.14209
137,20140106:1700,163.11,19.06,144.58,2.89,23.58,-4.52,7.93,0.0,0.16311
138,20140106:1800,297.86,102.01,178.93,3.92,23.24,-4.82,8.76,0.0,0.29786
139,20140106:1900,464.53,263.5,160.71,4.32,20.13,-6.59,9.17,0.0,0.46453
140,20140106:2000,227.52,101.79,115.53,2.54,14.61,-7.56,8.9,0.0,0.22752
141,20140106:2100,164.36,100.83,64.11,1.31,7.19,-8.59,9.03,0.0,0.16436
142,20140106:2200,0.0,0.0,0.0,0.0,0.0,-10.07,9.86,0.0,0.0
143,20140106:2300,0.0,0.0,0.0,0.0,0.0,-12.3,10.76,0.0,0.0
144,20140107:0000,0.0,0.0,0.0,0.0,0.0,-13.51,10.41,0.0,0.0
145,20140107:0100,0.0,0.0,0.0,0.0,0.0,-13.97,9.93,0.0,0.0
146,20140107:0200,0.0,0.0,0.0,0.0,0.0,-13.7,9.03,0.0,0.0
147,20140107:0300,0.0,0.0,0.0,0.0,0.0,-13.15,8.97,0.0,0.0
148,20140107:0400,0.0,0.0,0.0,0.0,0.0,-13.49,10.14,0.0,0.0
149,20140107:0500,0.0,0.0,0.0,0.0,0.0,-14.71,11.31,0.0,0.0
150,20140107:0600,0.0,0.0,0.0,0.0,0.0,-15.87,10.97,0.0,0.0
151,20140107:0700,0.0,0.0,0.0,0.0,0.0,-17.24,10.14,0.0,0.0
152,20140107:0800,0.0,0.0,0.0,0.0,0.0,-17.93,9.59,0.0,0.0
153,20140107:0900,0.0,0.0,0.0,0.0,0.0,-19.04,9.72,0.0,0.0
154,20140107:1000,0.0,0.0,0.0,0.0,0.0,-19.73,9.52,0.0,0.0
155,20140107:1100,0.0,0.0,0.0,0.0,0.0,-20.37,9.59,0.0,0.0
156,20140107:1200,0.0,0.0,0.0,0.0,0.0,-20.88,10.34,0.0,0.0
157,20140107:1300,0.0,0.0,0.0,0.0,0.0,-20.88,10.28,0.0,0.0
158,20140107:1400,234.34,140.39,73.57,1.69,9.16,-20.6,10.28,0.0,0.23434
159,20140107:1500,283.61,127.23,124.62,2.86,16.2,-20.14,10.21,0.0,0.28361000000000003
160,20140107:1600,936.58,669.95,137.02,6.78,21.2,-19.25,10.76,0.0,0.9365800000000001
161,20140107:1700,1017.23,740.81,141.79,7.66,23.69,-18.36,10.69,0.0,1.01723
162,20140107:1800,390.06,156.67,185.22,4.31,23.37,-17.65,10.76,0.0,0.39006
163,20140107:1900,890.46,642.3,132.33,6.44,20.28,-16.95,10.55,0.0,0.89046
164,20140107:2000,233.23,101.06,112.89,2.51,14.77,-16.65,10.14,0.0,0.23323
165,20140107:2100,160.3,91.8,64.34,1.31,7.35,-16.42,10.14,0.0,0.1603
166,20140107:2200,0.0,0.0,0.0,0.0,0.0,-16.51,9.86,0.0,0.0
167,20140107:2300,0.0,0.0,0.0,0.0,0.0,-16.53,9.66,0.0,0.0
168,20140108:0000,0.0,0.0,0.0,0.0,0.0,-16.66,9.52,0.0,0.0
169,20140108:0100,0.0,0.0,0.0,0.0,0.0,-16.88,9.17,0.0,0.0
170,20140108:0200,0.0,0.0,0.0,0.0,0.0,-17.18,8.83,0.0,0.0
171,20140108:0300,0.0,0.0,0.0,0.0,0.0,-17.43,8.55,0.0,0.0
172,20140108:0400,0.0,0.0,0.0,0.0,0.0,-17.44,8.28,0.0,0.0
173,20140108:0500,0.0,0.0,0.0,0.0,0.0,-17.42,7.86,0.0,0.0
174,20140108:0600,0.0,0.0,0.0,0.0,0.0,-17.28,7.52,0.0,0.0
175,20140108:0700,0.0,0.0,0.0,0.0,0.0,-17.03,7.1,0.0,0.0
176,20140108:0800,0.0,0.0,0.0,0.0,0.0,-16.91,7.1,0.0,0.0
177,20140108:0900,0.0,0.0,0.0,0.0,0.0,-16.71,6.62,0.0,0.0
178,20140108:1000,0.0,0.0,0.0,0.0,0.0,-16.61,6.34,0.0,0.0
179,20140108:1100,0.0,0.0,0.0,0.0,0.0,-16.59,5.86,0.0,0.0
180,20140108:1200,0.0,0.0,0.0,0.0,0.0,-16.59,5.79,0.0,0.0
181,20140108:1300,0.0,0.0,0.0,0.0,0.0,-16.53,6.0,0.0,0.0
182,20140108:1400,33.21,0.0,42.83,0.83,9.22,-16.05,5.86,0.0,0.03321
183,20140108:1500,700.83,501.83,121.45,4.85,16.27,-15.21,5.59,0.0,0.7008300000000001
184,20140108:1600,876.15,652.12,135.0,6.65,21.3,-13.94,5.72,0.0,0.87615
185,20140108:1700,245.13,60.98,167.46,3.53,23.81,-12.48,5.93,0.0,0.24513
186,20140108:1800,227.99,52.72,162.14,3.39,23.51,-11.21,6.41,0.0,0.22799
187,20140108:1900,452.33,247.7,163.43,4.31,20.43,-9.3,6.28,0.0,0.45233
188,20140108:2000,173.34,62.7,107.22,2.28,14.93,-8.57,6.34,0.0,0.17334
189,20140108:2100,129.94,72.2,62.18,1.25,7.51,-8.2,6.21,0.0,0.12994
190,20140108:2200,0.0,0.0,0.0,0.0,0.0,-8.2,5.72,0.0,0.0
191,20140108:2300,0.0,0.0,0.0,0.0,0.0,-8.34,5.59,0.0,0.0
192,20140109:0000,0.0,0.0,0.0,0.0,0.0,-8.6,5.59,0.0,0.0
193,20140109:0100,0.0,0.0,0.0,0.0,0.0,-9.05,5.38,0.0,0.0
194,20140109:0200,0.0,0.0,0.0,0.0,0.0,-9.72,5.1,0.0,0.0
195,20140109:0300,0.0,0.0,0.0,0.0,0.0,-10.35,4.83,0.0,0.0
196,20140109:0400,0.0,0.0,0.0,0.0,0.0,-11.01,4.69,0.0,0.0
197,20140109:0500,0.0,0.0,0.0,0.0,0.0,-11.42,4.62,0.0,0.0
198,20140109:0600,0.0,0.0,0.0,0.0,0.0,-11.64,4.48,0.0,0.0
199,20140109:0700,0.0,0.0,0.0,0.0,0.0,-11.49,4.41,0.0,0.0
200,20140109:0800,0.0,0.0,0.0,0.0,0.0,-11.62,4.28,0.0,0.0
201,20140109:0900,0.0,0.0,0.0,0.0,0.0,-11.76,4.28,0.0,0.0
202,20140109:1000,0.0,0.0,0.0,0.0,0.0,-11.9,4.21,0.0,0.0
203,20140109:1100,0.0,0.0,0.0,0.0,0.0,-12.13,4.0,0.0,0.0
204,20140109:1200,0.0,0.0,0.0,0.0,0.0,-12.36,3.72,0.0,0.0
205,20140109:1300,0.0,0.0,0.0,0.0,0.0,-12.6,3.45,0.0,0.0
206,20140109:1400,407.69,283.42,94.44,2.45,9.28,-12.43,3.03,0.0,0.40769
207,20140109:1500,689.09,511.6,123.87,4.96,16.35,-11.12,2.76,0.0,0.68909
208,20140109:1600,857.42,666.97,137.59,6.81,21.41,-9.26,2.97,0.0,0.85742
209,20140109:1700,930.63,741.57,144.3,7.75,23.94,-7.66,3.03,0.0,0.93063
210,20140109:1800,920.49,737.11,143.04,7.68,23.66,-6.9,2.9,0.0,0.92049
211,20140109:1900,827.04,649.09,135.14,6.58,20.59,-7.09,2.76,0.0,0.82704
212,20140109:2000,649.36,492.81,118.05,4.64,15.09,-7.08,2.62,0.0,0.64936
213,20140109:2100,398.59,305.16,77.96,2.15,7.68,-7.27,2.41,0.0,0.39859
214,20140109:2200,0.0,0.0,0.0,0.0,0.0,-8.03,2.83,0.0,0.0
215,20140109:2300,0.0,0.0,0.0,0.0,0.0,-8.28,3.03,0.0,0.0
216,20140110:0000,0.0,0.0,0.0,0.0,0.0,-8.28,2.83,0.0,0.0
217,20140110:0100,0.0,0.0,0.0,0.0,0.0,-8.74,2.21,0.0,0.0
218,20140110:0200,0.0,0.0,0.0,0.0,0.0,-8.36,1.66,0.0,0.0
219,20140110:0300,0.0,0.0,0.0,0.0,0.0,-6.91,1.45,0.0,0.0
220,20140110:0400,0.0,0.0,0.0,0.0,0.0,-5.88,0.97,0.0,0.0
221,20140110:0500,0.0,0.0,0.0,0.0,0.0,-5.86,0.9,0.0,0.0
222,20140110:0600,0.0,0.0,0.0,0.0,0.0,-5.85,0.97,0.0,0.0
223,20140110:0700,0.0,0.0,0.0,0.0,0.0,-6.25,1.03,0.0,0.0
224,20140110:0800,0.0,0.0,0.0,0.0,0.0,-6.38,1.1,0.0,0.0
225,20140110:0900,0.0,0.0,0.0,0.0,0.0,-6.14,1.52,0.0,0.0
226,20140110:1000,0.0,0.0,0.0,0.0,0.0,-5.65,1.24,0.0,0.0
227,20140110:1100,0.0,0.0,0.0,0.0,0.0,-4.98,0.9,0.0,0.0
228,20140110:1200,0.0,0.0,0.0,0.0,0.0,-4.84,1.1,0.0,0.0
229,20140110:1300,0.0,0.0,0.0,0.0,0.0,-4.31,1.52,0.0,0.0
230,20140110:1400,2.04,0.0,9.11,0.18,9.34,-3.61,1.72,0.0,0.00204
231,20140110:1500,37.32,0.0,49.21,0.95,16.44,-2.58,1.79,0.0,0.03732
232,20140110:1600,55.69,0.0,67.43,1.31,21.52,-1.65,2.14,0.0,0.055689999999999996
233,20140110:1700,55.44,0.0,67.43,1.31,24.08,-0.59,2.76,0.0,0.055439999999999996
234,20140110:1800,70.4,0.0,82.01,1.59,23.82,0.28,3.45,0.0,0.0704
235,20140110:1900,40.39,0.0,52.85,1.02,20.76,0.5,2.69,0.0,0.04039
236,20140110:2000,15.33,0.0,26.43,0.51,15.27,0.9,2.69,0.0,0.01533
237,20140110:2100,11.42,0.0,21.87,0.42,7.85,1.05,2.69,0.0,0.01142
238,20140110:2200,0.0,0.0,0.0,0.0,0.0,1.15,2.76,0.0,0.0
239,20140110:2300,0.0,0.0,0.0,0.0,0.0,1.22,2.69,0.0,0.0
240,20140111:0000,0.0,0.0,0.0,0.0,0.0,1.28,2.83,0.0,0.0
241,20140111:0100,0.0,0.0,0.0,0.0,0.0,1.46,2.83,0.0,0.0
242,20140111:0200,0.0,0.0,0.0,0.0,0.0,1.58,2.76,0.0,0.0
243,20140111:0300,0.0,0.0,0.0,0.0,0.0,1.74,2.55,0.0,0.0
244,20140111:0400,0.0,0.0,0.0,0.0,0.0,1.96,2.62,0.0,0.0
245,20140111:0500,0.0,0.0,0.0,0.0,0.0,2.15,3.03,0.0,0.0
246,20140111:0600,0.0,0.0,0.0,0.0,0.0,2.27,3.72,0.0,0.0
247,20140111:0700,0.0,0.0,0.0,0.0,0.0,2.18,4.28,0.0,0.0
248,20140111:0800,0.0,0.0,0.0,0.0,0.0,2.47,4.0,0.0,0.0
249,20140111:0900,0.0,0.0,0.0,0.0,0.0,2.99,3.45,0.0,0.0
250,20140111:1000,0.0,0.0,0.0,0.0,0.0,3.77,4.07,0.0,0.0
251,20140111:1100,0.0,0.0,0.0,0.0,0.0,4.45,5.03,0.0,0.0
252,20140111:1200,0.0,0.0,0.0,0.0,0.0,4.8,5.1,0.0,0.0
253,20140111:1300,0.0,0.0,0.0,0.0,0.0,4.86,4.97,0.0,0.0
254,20140111:1400,6.88,0.0,16.4,0.32,9.42,4.77,4.55,0.0,0.00688
255,20140111:1500,25.67,0.0,38.27,0.74,16.54,4.62,4.0,0.0,0.025670000000000002
256,20140111:1600,20.67,0.0,32.8,0.64,21.64,4.5,3.31,0.0,0.02067
257,20140111:1700,42.29,0.0,55.59,1.08,24.23,4.48,3.1,0.0,0.04229
258,20140111:1800,63.39,0.0,76.54,1.48,23.98,4.44,3.38,0.0,0.06339
259,20140111:1900,13.47,0.0,24.6,0.48,20.93,4.76,4.28,0.0,0.013470000000000001
260,20140111:2000,3.02,0.0,10.93,0.21,15.44,5.28,5.93,0.0,0.00302
261,20140111:2100,23.86,0.0,36.45,0.71,8.03,5.81,7.03,0.0,0.02386
262,20140111:2200,0.0,0.0,0.0,0.0,0.0,5.43,6.21,0.0,0.0
263,20140111:2300,0.0,0.0,0.0,0.0,0.0,4.96,6.07,0.0,0.0
264,20140112:0000,0.0,0.0,0.0,0.0,0.0,4.24,6.69,0.0,0.0
265,20140112:0100,0.0,0.0,0.0,0.0,0.0,3.53,7.17,0.0,0.0
266,20140112:0200,0.0,0.0,0.0,0.0,0.0,2.89,7.24,0.0,0.0
267,20140112:0300,0.0,0.0,0.0,0.0,0.0,2.24,6.9,0.0,0.0
268,20140112:0400,0.0,0.0,0.0,0.0,0.0,1.71,6.62,0.0,0.0
269,20140112:0500,0.0,0.0,0.0,0.0,0.0,1.23,6.55,0.0,0.0
270,20140112:0600,0.0,0.0,0.0,0.0,0.0,0.86,6.55,0.0,0.0
271,20140112:0700,0.0,0.0,0.0,0.0,0.0,0.72,6.76,0.0,0.0
272,20140112:0800,0.0,0.0,0.0,0.0,0.0,0.62,6.21,0.0,0.0
273,20140112:0900,0.0,0.0,0.0,0.0,0.0,0.46,6.07,0.0,0.0
274,20140112:1000,0.0,0.0,0.0,0.0,0.0,0.38,5.93,0.0,0.0
275,20140112:1100,0.0,0.0,0.0,0.0,0.0,0.38,5.72,0.0,0.0
276,20140112:1200,0.0,0.0,0.0,0.0,0.0,0.38,5.72,0.0,0.0
277,20140112:1300,0.0,0.0,0.0,0.0,0.0,0.31,5.38,0.0,0.0
278,20140112:1400,7.78,0.0,17.31,0.34,9.5,0.34,5.31,0.0,0.0077800000000000005
279,20140112:1500,35.0,0.0,47.38,0.92,16.64,0.73,5.66,0.0,0.035
280,20140112:1600,241.73,77.44,161.04,3.46,21.77,1.14,6.14,0.0,0.24173
281,20140112:1700,38.46,0.0,51.03,0.99,24.38,1.5,6.34,0.0,0.03846
282,20140112:1800,50.34,0.0,62.88,1.22,24.15,1.57,6.41,0.0,0.05034
283,20140112:1900,103.68,0.0,113.9,2.21,21.11,2.14,6.14,0.0,0.10368000000000001
284,20140112:2000,64.21,0.0,76.54,1.48,15.62,2.1,5.45,0.0,0.06420999999999999
285,20140112:2100,348.98,272.78,74.0,2.1,8.21,2.04,5.03,0.0,0.34898
286,20140112:2200,0.0,0.0,0.0,0.0,0.0,1.27,4.41,0.0,0.0
287,20140112:2300,0.0,0.0,0.0,0.0,0.0,0.61,5.1,0.0,0.0
288,20140113:0000,0.0,0.0,0.0,0.0,0.0,0.14,5.52,0.0,0.0
289,20140113:0100,0.0,0.0,0.0,0.0,0.0,-0.26,5.38,0.0,0.0
290,20140113:0200,0.0,0.0,0.0,0.0,0.0,-0.32,5.1,0.0,0.0
291,20140113:0300,0.0,0.0,0.0,0.0,0.0,-0.15,4.97,0.0,0.0
292,20140113:0400,0.0,0.0,0.0,0.0,0.0,0.42,5.45,0.0,0.0
293,20140113:0500,0.0,0.0,0.0,0.0,0.0,0.8,5.59,0.0,0.0
294,20140113:0600,0.0,0.0,0.0,0.0,0.0,0.83,5.59,0.0,0.0
295,20140113:0700,0.0,0.0,0.0,0.0,0.0,0.56,5.03,0.0,0.0
296,20140113:0800,0.0,0.0,0.0,0.0,0.0,0.61,4.62,0.0,0.0
297,20140113:0900,0.0,0.0,0.0,0.0,0.0,0.65,4.48,0.0,0.0
298,20140113:1000,0.0,0.0,0.0,0.0,0.0,0.76,4.48,0.0,0.0
299,20140113:1100,0.0,0.0,0.0,0.0,0.0,0.87,4.48,0.0,0.0
300,20140113:1200,0.0,0.0,0.0,0.0,0.0,1.02,4.62,0.0,0.0
